3,42295  1,60774  10  43  25  25  33  35  11  25  43  25  19  13  20  23  14  47  12  140  0,61
8,49273  1,08617  10  43  25  26  34  34  11  25  43  25  19  13  20  23  14  47  12  300  0,61
5,20071  1,3782   10  44  25  25  34  31  13  25  42  25  19  13  20  23  14  47  12  196  0,61
6,02001  1,28658  10  44  25  25  34  34  11  25  43  25  19  13  20  23  14  47  12  222  0,61
5,00556  1,39499  10  43  25  26  34  34  11  25  43  25  19  13  20  23  14  47  12  190  0,61
4,69101  1,43402  10  43  26  25  34  34  11  25  42  25  19  13  20  23  14  47  12  180  0,61
7,54168  1,1555   10  43  25  26  34  34  11  25  43  25  19  13  20  23  14  47  12  270  0,61
6,97353  1,20338  10  43  25  26  34  34  11  25  42  25  19  13  20  23  14  47  12  252  0,61
6,78085  1,21815  10  43  26  25  34  34  11  25  43  25  19  13  20  23  14  47  12  246  0,61
7,98798  1,12294  10  43  25  26  34  34  11  25  42  25  19  13  20  23  14  47  12  284  0,61
8,24653  1,10895  10  43  25  26  34  31  13  26  42  25  17  13  20  23  15  46  12  292  0,61
7,42229  1,17193  11  43  24  26  35  29  13  27  40  25  19  13  20  23  14  47  12  266  0,61
8,11478  1,11536  11  42  25  26  34  29  13  27  43  25  19  13  20  23  14  47  12  288  0,61
6,71744  1,22324  10  43  26  25  34  34  11  25  43  25  19  13  20  23  14  47  12  244  0,61
6,59311  1,23613  10  43  25  25  34  34  11  25  43  25  19  13  20  23  14  47  12  240  0,61
8,37087  1,09901  11  43  25  25  34  31  13  25  42  25  19  13  20  23  14  47  12  296  0,61
5,06896  1,38717  10  44  25  25  34  34  11  25  43  25  19  13  20  23  14  47  12  192  0,61
6,4029   1,25332  10  43  25  26  34  34  11  25  42  25  19  13  20  23  15  46  12  234  0,61
6,5297   1,24086  10  43  25  25  34  34  11  25  43  25  19  13  20  23  14  47  12  238  0,61
6,14681  1,27457  10  43  25  26  34  34  11  25  43  25  19  13  20  23  14  47  12  226  0,61
6,27856  1,26575  10  44  25  24  34  34  11  25  42  25  19  13  20  23  14  47  12  230  0,61
3,86677  1,54382  10  43  25  26  34  34  11  25  42  25  19  13  20  23  14  47  12  154  0,61
7,86117  1,13266  10  44  25  25  34  34  11  25  42  25  19  13  20  23  14  47  12  280  0,61
7,16621  1,18928  10  43  25  26  34  34  11  25  42  25  19  13  20  23  14  46  12  258  0,61
7,03693  1,19811  10  43  25  26  34  34  11  25  42  25  19  13  20  23  14  47  12  254  0,61
4,5008   1,45775  10  43  25  26  34  34  11  25  42  25  19  13  20  23  14  47  12  174  0,61
4,31306  1,48392  10  43  25  25  34  34  11  25  42  25  19  13  20  23  14  47  12  168  0,61
3,80584  1,55517  10  43  25  25  34  34  11  25  42  25  19  13  20  23  14  47  12  152  0,61
3,61069  1,57943  10  43  26  25  34  34  11  25  43  25  19  13  20  23  14  47  12  146  0,61
3,54975  1,59166  10  43  25  26  34  34  11  25  42  25  19  13  20  23  14  47  12  144  0,61
4,05698  1,51747  10  43  25  26  34  34  11  25  42  25  19  13  20  23  14  47  12  160  0,61
4,56174  1,44811  10  43  25  26  33  35  11  25  43  25  19  13  20  23  15  46  12  176  0,61
7,36136  1,17803  11  43  25  25  34  29  13  25  42  25  19  13  20  23  14  47  12  264  0,61
7,22714  1,18329  11  43  25  25  34  29  13  27  43  25  19  13  20  23  14  47  12  260  0,61
7,67343  1,14887  10  43  25  25  34  34  11  25  42  25  19  13  20  23  14  47  12  274  0,61
4,11791  1,50726  11  43  25  25  34  34  11  25  43  25  19  13  20  23  14  47  12  162  0,61
3,9277   1,53213  10  44  25  25  33  35  11  25  43  25  19  13  20  23  14  47  12  156  0,61
3,74243  1,56387  10  44  25  24  34  34  11  25  42  25  19  13  20  23  14  47  12  150  0,61
4,24966  1,49295  10  43  25  25  33  35  11  25  42  25  19  13  20  23  14  47  12  166  0,61
3,48388  1,59824  10  44  25  25  33  35  11  25  43  25  19  13  20  23  14  47  12  142  0,61
3,67656  1,57208  10  43  25  26  34  34  11  25  42  25  19  13  20  23  14  47  12  148  0,61
3,99358  1,52628  10  43  25  25  33  35  11  25  43  25  19  13  20  23  15  46  12  158  0,61
4,18379  1,49992  10  44  25  25  34  34  11  25  42  25  19  13  20  23  14  47  12  164  0,61
4,37153  1,47184  11  43  25  25  34  34  11  25  43  25  19  13  20  23  14  47  12  170  0,61
4,44234  1,46951  10  43  25  26  34  34  11  25  42  25  17  13  20  23  14  47  12  172  0,61
4,62514  1,43903  10  44  25  25  34  34  11  25  43  25  19  13  20  23  14  47  12  178  0,61
8,42933  1,09084  10  43  25  26  34  34  11  25  43  25  19  13  20  23  14  47  12  298  0,61
6,33949  1,25815  10  44  25  25  34  34  11  25  42  25  19  13  20  23  14  47  12  232  0,61
6,08588  1,28233  10  43  25  25  33  35  11  25  43  25  19  13  20  23  14  47  12  224  0,61
7,79777  1,13809  10  43  25  25  33  35  11  25  43  25  19  13  20  23  15  46  12  278  0,61
